epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1929,0.95909,1.25826,1.27837,0.79023,0.81611,0.84145,0.36725,1.00061,0.85988,1.27275,0.000523605,0.000523605,0.000523605
2,44.0339,0.91709,0.79643,1.20053,0.75539,0.71231,0.76077,0.29913,1.10834,1.04729,1.4872,0.00104536,0.00104536,0.00104536
3,55.8434,0.92758,0.75239,1.20389,0.39662,0.55979,0.37849,0.14331,1.11332,1.45134,1.45172,0.0015566,0.0015566,0.0015566
4,69.9904,0.93577,0.77956,1.22025,0.71057,0.78856,0.7078,0.28512,1.07893,1.27404,1.41727,0.00194072,0.00194072,0.00194072
5,81.221,0.9201,0.7257,1.20441,0.8167,0.7435,0.81627,0.34209,1.04911,0.77208,1.35569,0.00192096,0.00192096,0.00192096
6,94.9381,0.91905,0.72409,1.20131,0.84483,0.83035,0.88154,0.39563,0.98789,0.75552,1.29585,0.00190119,0.00190119,0.00190119
7,106.026,0.88559,0.6819,1.17767,0.75565,0.64645,0.74308,0.30916,1.09375,0.89943,1.39994,0.00188143,0.00188143,0.00188143
8,119.575,0.88812,0.67275,1.17143,0.8664,0.77816,0.8612,0.3954,1.00953,0.69637,1.27806,0.00186167,0.00186167,0.00186167
9,133.43,0.88403,0.67043,1.16819,0.84442,0.85602,0.90762,0.42166,1.00164,0.62395,1.2551,0.00184191,0.00184191,0.00184191
10,145.013,0.86229,0.63081,1.14694,0.89175,0.85664,0.91588,0.44046,0.98579,0.58734,1.2784,0.00182215,0.00182215,0.00182215
11,159.19,0.85297,0.61327,1.14427,0.89003,0.85566,0.92762,0.42348,1.01871,0.60419,1.27309,0.00180239,0.00180239,0.00180239
12,170.977,0.85323,0.60619,1.15042,0.90816,0.83979,0.9114,0.43412,0.95842,0.56266,1.2279,0.00178263,0.00178263,0.00178263
13,185.133,0.83733,0.59407,1.12808,0.88728,0.87002,0.91709,0.44558,0.9581,0.56736,1.22394,0.00176287,0.00176287,0.00176287
14,196.34,0.84372,0.60643,1.13071,0.87505,0.88562,0.91386,0.44876,0.94815,0.55177,1.23279,0.0017431,0.0017431,0.0017431
15,210.201,0.83983,0.59706,1.14021,0.89187,0.84922,0.92003,0.45601,0.95373,0.56699,1.22708,0.00172334,0.00172334,0.00172334
16,225.088,0.82216,0.57251,1.11666,0.84036,0.86671,0.89836,0.43768,0.94369,0.57302,1.24448,0.00170358,0.00170358,0.00170358
17,237.432,0.81761,0.57133,1.11946,0.91026,0.86137,0.93217,0.47469,0.93126,0.51033,1.23486,0.00168382,0.00168382,0.00168382
18,251.974,0.79852,0.55055,1.0938,0.89231,0.89255,0.93268,0.46846,0.92307,0.52063,1.18655,0.00166406,0.00166406,0.00166406
19,264.001,0.79916,0.54133,1.08598,0.88215,0.90988,0.92776,0.46015,0.93562,0.5628,1.21792,0.0016443,0.0016443,0.0016443
20,278.448,0.78557,0.53215,1.09464,0.90566,0.88735,0.94348,0.48012,0.92413,0.51586,1.19567,0.00162454,0.00162454,0.00162454
21,290.51,0.79518,0.53652,1.09869,0.87907,0.90641,0.92881,0.47968,0.90443,0.53568,1.19744,0.00160478,0.00160478,0.00160478
22,305.421,0.79044,0.52775,1.09111,0.91893,0.89948,0.94088,0.47604,0.91138,0.52615,1.20639,0.00158501,0.00158501,0.00158501
23,317.961,0.78628,0.52676,1.08241,0.90909,0.90124,0.94895,0.49162,0.92264,0.48912,1.18973,0.00156525,0.00156525,0.00156525
24,333.426,0.75397,0.50918,1.06863,0.91375,0.89971,0.95267,0.4883,0.90158,0.47455,1.18061,0.00154549,0.00154549,0.00154549
25,345.733,0.75741,0.50728,1.06243,0.86325,0.87695,0.93071,0.49618,0.88643,0.49497,1.15512,0.00152573,0.00152573,0.00152573
26,360.806,0.75313,0.49689,1.0616,0.91331,0.89428,0.9393,0.49221,0.91316,0.4782,1.19942,0.00150597,0.00150597,0.00150597
27,375.452,0.75636,0.4992,1.05701,0.93042,0.87522,0.94637,0.49519,0.90579,0.49209,1.18812,0.00148621,0.00148621,0.00148621
28,387.751,0.75085,0.49825,1.05707,0.90065,0.89948,0.94044,0.49967,0.90085,0.47642,1.17928,0.00146645,0.00146645,0.00146645
29,402.586,0.7471,0.48866,1.04912,0.90693,0.90988,0.94704,0.49843,0.90056,0.46434,1.18027,0.00144669,0.00144669,0.00144669
30,414.986,0.73795,0.48185,1.03756,0.9113,0.89032,0.94818,0.49403,0.90312,0.4771,1.16065,0.00142693,0.00142693,0.00142693
31,429.649,0.74352,0.48027,1.03964,0.91952,0.91334,0.94968,0.50551,0.8772,0.47763,1.14838,0.00140716,0.00140716,0.00140716
32,442.085,0.72689,0.47766,1.03773,0.89748,0.89511,0.94808,0.49607,0.90521,0.47339,1.16993,0.0013874,0.0013874,0.0013874
33,457.313,0.72453,0.47171,1.03187,0.90826,0.92661,0.95927,0.51588,0.88245,0.45211,1.15006,0.00136764,0.00136764,0.00136764
34,469.917,0.7213,0.46901,1.0261,0.91183,0.88908,0.9469,0.50609,0.88456,0.45864,1.16106,0.00134788,0.00134788,0.00134788
35,484.607,0.71637,0.46218,1.02405,0.90739,0.91698,0.94988,0.50007,0.8923,0.46831,1.17628,0.00132812,0.00132812,0.00132812
36,496.844,0.70851,0.44927,1.01504,0.93093,0.91508,0.95476,0.52834,0.85579,0.43404,1.14649,0.00130836,0.00130836,0.00130836
37,511.454,0.70306,0.44488,1.0077,0.9303,0.92721,0.95937,0.52014,0.86038,0.44766,1.14195,0.0012886,0.0012886,0.0012886
38,523.859,0.69593,0.44814,1.00642,0.93871,0.90257,0.95535,0.51374,0.88347,0.44678,1.16987,0.00126884,0.00126884,0.00126884
39,538.488,0.70701,0.4549,1.01897,0.93878,0.90353,0.95542,0.50714,0.90759,0.45719,1.18155,0.00124907,0.00124907,0.00124907
40,552.758,0.69909,0.44761,1.01214,0.91255,0.92894,0.95883,0.52418,0.86213,0.43995,1.15654,0.00122931,0.00122931,0.00122931
41,564.49,0.68276,0.43812,0.99912,0.92377,0.90468,0.95428,0.51393,0.89322,0.45731,1.17563,0.00120955,0.00120955,0.00120955
42,578.624,0.67951,0.43692,0.99178,0.89371,0.90344,0.93739,0.51866,0.88189,0.43336,1.1761,0.00118979,0.00118979,0.00118979
43,590.242,0.68159,0.43976,0.99212,0.92331,0.89724,0.95125,0.52926,0.85595,0.4353,1.15395,0.00117003,0.00117003,0.00117003
44,604.719,0.68881,0.44035,1.00015,0.93708,0.90336,0.95756,0.51709,0.86107,0.44179,1.15952,0.00115027,0.00115027,0.00115027
45,616.93,0.66979,0.43016,0.98602,0.9219,0.94107,0.96795,0.52787,0.87551,0.43323,1.15778,0.00113051,0.00113051,0.00113051
46,632.112,0.67635,0.43047,0.99171,0.93117,0.90815,0.9659,0.5271,0.85928,0.4356,1.1528,0.00111075,0.00111075,0.00111075
47,644.352,0.68082,0.43819,0.99047,0.93723,0.92028,0.96195,0.53293,0.86003,0.42164,1.15151,0.00109098,0.00109098,0.00109098
48,658.719,0.66064,0.41894,0.97471,0.9211,0.91334,0.95264,0.51308,0.89747,0.44208,1.17833,0.00107122,0.00107122,0.00107122
49,673.352,0.6531,0.41729,0.9664,0.90563,0.90988,0.94436,0.50074,0.9152,0.44997,1.22683,0.00105146,0.00105146,0.00105146
50,685.613,0.65723,0.41308,0.97919,0.92556,0.92666,0.95505,0.52408,0.86011,0.43071,1.15842,0.0010317,0.0010317,0.0010317
51,700.167,0.64996,0.41787,0.97106,0.92066,0.92509,0.96105,0.5336,0.84573,0.41958,1.14119,0.00101194,0.00101194,0.00101194
52,712.604,0.63793,0.40407,0.95963,0.92738,0.92952,0.96179,0.54667,0.84257,0.42368,1.14038,0.000992179,0.000992179,0.000992179
53,727.394,0.64275,0.40363,0.96147,0.90397,0.94454,0.95063,0.52024,0.85937,0.42061,1.14917,0.000972418,0.000972418,0.000972418
54,739.064,0.64161,0.40986,0.96659,0.93027,0.92492,0.95491,0.51894,0.86827,0.4363,1.16772,0.000952656,0.000952656,0.000952656
55,753.327,0.6458,0.40306,0.96751,0.94321,0.90295,0.95896,0.53935,0.85275,0.41601,1.14982,0.000932895,0.000932895,0.000932895
56,765.112,0.63756,0.39643,0.95493,0.91427,0.94267,0.95357,0.52688,0.85253,0.42568,1.16233,0.000913134,0.000913134,0.000913134
57,779.502,0.63704,0.39856,0.96245,0.90819,0.93934,0.95887,0.52232,0.87146,0.42093,1.17238,0.000893373,0.000893373,0.000893373
58,791.511,0.62851,0.3933,0.95013,0.94161,0.91334,0.95974,0.53178,0.86208,0.41669,1.153,0.000873612,0.000873612,0.000873612
59,806.036,0.61863,0.389,0.94452,0.92992,0.94454,0.96588,0.54678,0.83909,0.40662,1.14069,0.00085385,0.00085385,0.00085385
60,820.938,0.61304,0.38828,0.94499,0.93869,0.92873,0.96571,0.53937,0.83725,0.40709,1.13297,0.000834089,0.000834089,0.000834089
61,832.994,0.61414,0.38652,0.94397,0.91642,0.94454,0.95975,0.52823,0.86368,0.41375,1.19062,0.000814328,0.000814328,0.000814328
62,847.831,0.60873,0.38291,0.93347,0.92663,0.93761,0.96554,0.54247,0.84527,0.41348,1.15934,0.000794567,0.000794567,0.000794567
63,859.927,0.60632,0.37924,0.93725,0.92308,0.93594,0.95792,0.52833,0.86349,0.42065,1.17388,0.000774806,0.000774806,0.000774806
64,874.177,0.60311,0.37639,0.93157,0.93189,0.93761,0.9715,0.54908,0.83328,0.4006,1.14134,0.000755044,0.000755044,0.000755044
65,886.431,0.59662,0.37648,0.92553,0.942,0.92891,0.96569,0.5383,0.85355,0.41017,1.15285,0.000735283,0.000735283,0.000735283
66,901.683,0.58936,0.36815,0.9193,0.93916,0.9363,0.96315,0.54074,0.84731,0.4038,1.14987,0.000715522,0.000715522,0.000715522
67,913.328,0.59652,0.38057,0.9198,0.94239,0.93548,0.9698,0.5382,0.85454,0.40896,1.15992,0.000695761,0.000695761,0.000695761
68,927.445,0.60213,0.3777,0.93253,0.95052,0.93215,0.96966,0.54077,0.84775,0.39954,1.16396,0.000676,0.000676,0.000676
69,939.674,0.57584,0.3676,0.91316,0.95249,0.93934,0.96951,0.55141,0.8376,0.39711,1.14413,0.000656238,0.000656238,0.000656238
70,954.444,0.59025,0.36896,0.92015,0.94389,0.93299,0.96214,0.53652,0.8461,0.4008,1.15474,0.000636477,0.000636477,0.000636477
71,969.122,0.58663,0.36709,0.92234,0.94402,0.93414,0.9595,0.54663,0.84173,0.38856,1.14857,0.000616716,0.000616716,0.000616716
72,981.162,0.57195,0.35825,0.90994,0.9532,0.93414,0.9669,0.54868,0.84453,0.4067,1.15633,0.000596955,0.000596955,0.000596955
73,995.862,0.57208,0.35823,0.90449,0.94741,0.93673,0.96794,0.54098,0.84278,0.40945,1.15844,0.000577194,0.000577194,0.000577194
74,1008.14,0.571,0.35578,0.9016,0.93504,0.93414,0.96591,0.54574,0.84313,0.39762,1.15912,0.000557432,0.000557432,0.000557432
75,1023.12,0.57172,0.35917,0.91151,0.92798,0.91854,0.9643,0.53944,0.84999,0.42092,1.18199,0.000537671,0.000537671,0.000537671
76,1035.29,0.5578,0.3498,0.90271,0.92187,0.92894,0.95775,0.52647,0.84315,0.41187,1.16616,0.00051791,0.00051791,0.00051791
77,1049.93,0.56131,0.35289,0.8967,0.94911,0.92548,0.96744,0.54443,0.84752,0.40073,1.16499,0.000498149,0.000498149,0.000498149
78,1062.22,0.56111,0.3524,0.90226,0.92191,0.95321,0.97015,0.54098,0.85509,0.39859,1.17212,0.000478388,0.000478388,0.000478388
79,1076.87,0.54573,0.3461,0.88619,0.93977,0.93588,0.97199,0.54285,0.8464,0.40388,1.17176,0.000458626,0.000458626,0.000458626
